"Neue Inverkehrsetzungen von Strassenfahrzeugen nach Fahrzeuggruppe, Fahrzeugart"

"Monat","Fahrzeuggruppe / -art","Treibstoff","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Januar","> Personenwagen","Benzin",12203,12641,11917,13441,11730,12561,13435,14671,12274,12031,10595,11130,10712,13366
"Januar","> Personenwagen","Diesel",5300,6018,5978,7785,5912,6295,7583,9812,8915,8343,7865,8905,8287,7601
"Januar","> Personenwagen","Benzin-elektrisch",0,18,153,218,171,309,305,287,484,377,406,588,611,888
"Januar","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,0,1,3,68,86,59,59,24,32
"Januar","> Personenwagen","Elektrisch",0,1,1,2,2,10,38,51,66,109,146,239,313,262
"Januar","> Personenwagen","Gas (mono- und bivalent)",33,59,168,91,80,76,36,43,51,28,56,39,47,91
"Januar","> Personenwagen","Anderer",26,98,96,127,46,30,39,55,14,3,2,1,0,18
"Januar","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Februar","> Personenwagen","Benzin",11566,11987,12446,14001,11911,12645,15101,14781,13114,13115,13121,12885,13036,14071
"Februar","> Personenwagen","Diesel",4900,5418,5999,7366,5492,5923,7653,9271,8913,8779,9167,9346,9087,7070
"Februar","> Personenwagen","Benzin-elektrisch",0,21,180,268,214,246,411,309,483,384,569,672,705,864
"Februar","> Personenwagen","Diesel-elektrisch",0,0,0,0,0,0,1,12,86,57,62,66,26,10
"Februar","> Personenwagen","Elektrisch",3,0,3,2,2,7,32,25,36,81,100,160,213,418
"Februar","> Personenwagen","Gas (mono- und bivalent)",42,53,119,93,58,52,46,37,78,37,69,63,56,103
"Februar","> Personenwagen","Anderer",46,111,45,94,41,26,42,26,3,1,0,0,0,0
"Februar","> Personenwagen","Ohne Motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"März","> Personenwagen","Benzin",17139,19181,17691,15593,16329,20136,20779,21340,17800,16266,18802,17102,18231,18146
"März","> Personenwagen","Diesel",7097,7657,7864,7640,6970,8160,9821,11790,10444,9616,11937,10997,11021,8450
"März","> Personenwagen","Benzin-elektrisch",0,28,312,248,336,354,565,551,733,637,975,894,978,1163
