"Neue Inverkehrsetzungen von Strassenfahrzeugen nach Fahrzeuggruppe, Fahrzeugart"

"Monat","Fahrzeuggruppe / -art","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Januar","> Personenwagen",17562,18835,18313,21664,17941,19281,21437,24922,21872,20977,19129,20961,19994,22258
"Februar","> Personenwagen",16557,17590,18792,21824,17718,18899,23286,24461,22713,22454,23088,23192,23123,22536
"März","> Personenwagen",24348,27057,26108,23672,23769,28810,31382,33964,29220,26879,32266,29562,30892,28581
"April","> Personenwagen",27792,24362,24729,29078,24997,26055,28496,29373,28476,27905,29339,29029,25995,26558
"Mai","> Personenwagen",24590,27575,26911,26929,23042,25112,30324,30111,27468,26091,27925,26177,28375,27942
"Juni","> Personenwagen",26737,29785,31063,29562,26826,31960,28862,40947,29140,28012,33492,31464,32141,31536
"Juli","> Personenwagen",21673,21726,24769,26077,24006,25659,26280,24487,26281,27610,30175,26189,24798,25379
"August","> Personenwagen",18148,17610,21122,19089,17940,20124,22643,22205,21080,19856,23685,21945,23111,21680
"September","> Personenwagen",20993,19604,20690,21695,21103,22349,27464,21317,22706,21821,24273,26180,24606,20462
"Oktober","> Personenwagen",20553,21089,24222,24264,22894,24736,27729,26631,26537,26401,25447,23354,24614,22666
"November","> Personenwagen",20598,21973,24681,20261,22033,25142,29462,26869,24944,23695,26191,26270,26587,23986
"Dezember","> Personenwagen",21131,22542,22572,23856,24209,28470,30590,28758,29717,32382,32133,35008,30796,27303
